DMU;CountryYear;Country code;Country;Bank;ID;Foreign;Government;Bank code;Listed;Type;Islamic;year;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;STMC;STMR;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;IIILargeAssets;VLargeAssets;HHIAssets  ;IIILargeLoans;VLargeLoans;HHILoans;IIILargeDeposits;VLargeDeposits;HHIDeposits;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
Ghana Commercial Bank/2008;Ghana/2008;14;Ghana;Ghana Commercial Bank;GhanaGhana Commercial Bank2008;0;0;74;1;CB;0;2008;0,329;0,201;0,637;0,244;0,045;0,126;0,009;0,240;0,020;0,002;0,236;0,010;0,029;;;0,011;0,011;0,026;0,015;0,027;0,196;0,359;-1,026;2438,70;0,302;0,269;0,011;0,026;0,011;0,066;4601,69;1,00;0,084;1226,22;7,112;0,059;0,136;0,165;0,202;0,097;0,078;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,41;0,56;838,00;0,42;0,56;917,00;0,42;0,55;849,10;0,49;0,51;0,00;0,54;0,46;0,00;0,45;0,55;0,00;0,487;18,494;0,706;0,09;English;1;0;6,93;1;0,16;57;50;33;83,7;71,5;53,4;47,6;68;63;50;50;0,008;1957;51;3;0,08;
Ghana Commercial Bank/2009;Ghana/2009;14;Ghana;Ghana Commercial Bank;GhanaGhana Commercial Bank2009;0;0;74;1;CB;0;2009;0,285;0,145;0,697;0,262;0,042;0,106;0,010;0,275;0,190;0,008;0,264;0,012;0,028;;;0,012;0,014;0,029;0,018;0,011;0,092;0,400;-0,915;2073,60;0,350;0,331;0,028;0,029;0,014;0,086;4801,08;1,00;0,040;1090,42;6,994;0,015;0,148;0,193;0,166;0,102;0,037;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,41;0,56;838,00;0,42;0,56;917,00;0,42;0,55;849,10;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,487;14,094;0,706;0,09;English;1;0;7,13;1;0,16;58,1;50;37;83,2;65,7;56,7;45,3;69,6;63;50;60;0,027;1957;52;3;0,08;
Ghana Commercial Bank/2010;Ghana/2010;14;Ghana;Ghana Commercial Bank;GhanaGhana Commercial Bank2010;0;0;74;1;CB;0;2010;0,205;0,114;0,581;0,277;0,032;0,087;0,010;0,196;0,131;0,012;0,174;0,008;0,050;157;2314;0,014;0,008;0,034;0,019;0,025;0,265;0,364;-1,010;2289,00;0,287;0,289;0,018;0,034;0,008;0,113;5726,07;1,00;0,080;1319,07;7,185;0,055;0,137;0,107;0,165;0,095;0,063;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,41;0,56;838,00;0,42;0,56;917,00;0,42;0,55;849,10;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,487;13,600;0,706;0,09;English;1;0;7,09;1;0,16;60,2;50;39;83,5;58,9;56,8;57,4;65,9;65,3;65;60;0,063;1957;53;3;0,08;
Guaranty Trust Bank Ghana Limited/2007;Ghana/2007;14;Ghana;Guaranty Trust Bank Ghana Limited;GhanaGuaranty Trust Bank Ghana Limited2007;1;0;75;0;CB;0;2007;0,138;1,000;1,636;0,008;0,001;0,150;0,001;0,003;0,015;0,000;0,003;0,000;0,000;;84;0,001;0,000;0,001;0,000;-0,039;-0,258;0,010;-4,619;44,10;0,007;0,008;0,000;0,001;0,000;0,004;4197,75;1,00;0,065;1084,54;6,989;0,039;0,116;0,107;0,163;0,115;0,047;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,49;0,51;0,00;0,54;0,46;0,00;0,48;0,52;0,00;0,421;2,738;0,706;0,09;English;1;0;7,00;1;0,16;57,6;50;40;82,5;66,7;54,9;48,4;70,1;63;50;50;0,015;1957;50;3;0,11;
Guaranty Trust Bank Ghana Limited/2008;Ghana/2008;14;Ghana;Guaranty Trust Bank Ghana Limited;GhanaGuaranty Trust Bank Ghana Limited2008;1;0;75;0;CB;0;2008;0,134;0,439;0,616;0,034;0,002;0,057;0,002;0,009;0,043;0,000;0,009;0,001;0,001;;144;0,001;0,002;0,002;0,001;0,035;0,469;0,038;-3,275;202,30;0,031;0,034;0,001;0,002;0,002;0,022;4601,69;1,00;0,084;1226,22;7,112;0,059;0,136;0,165;0,202;0,097;0,078;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,49;0,51;0,00;0,54;0,46;0,00;0,45;0,55;0,00;0,421;2,283;0,706;0,09;English;1;0;6,93;1;0,16;57;50;33;83,7;71,5;53,4;47,6;68;63;50;50;0,019;1957;51;3;0,08;
Guaranty Trust Bank Ghana Limited/2009;Ghana/2009;14;Ghana;Guaranty Trust Bank Ghana Limited;GhanaGuaranty Trust Bank Ghana Limited2009;1;0;75;0;CB;0;2009;0,162;0,271;0,504;0,037;0,018;0,309;0,003;0,023;0,030;0,000;0,022;0,001;0,006;;306;0,002;0,002;0,004;0,002;0,053;0,248;0,060;-2,821;331,10;0,051;0,038;0,003;0,004;0,002;0,028;4801,08;1,00;0,040;1090,42;6,994;0,015;0,148;0,193;0,166;0,102;0,037;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,421;8,910;0,706;0,09;English;1;0;7,13;1;0,16;58,1;50;37;83,2;65,7;56,7;45,3;69,6;63;50;60;0,021;1957;52;3;0,08;
Guaranty Trust Bank Ghana Limited/2010;Ghana/2010;14;Ghana;Guaranty Trust Bank Ghana Limited;GhanaGuaranty Trust Bank Ghana Limited2010;1;0;75;0;CB;0;2010;0,234;0,218;0,571;0,050;0,017;0,235;0,003;0,025;0,069;0,001;0,024;0,002;0,006;;315;0,003;0,003;0,005;0,002;0,033;0,126;0,072;-2,625;465,90;0,062;0,050;0,003;0,005;0,003;0,038;5726,07;1,00;0,080;1319,07;7,185;0,055;0,137;0,107;0,165;0,095;0,063;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,421;6,607;0,706;0,09;English;1;0;7,09;1;0,16;60,2;50;39;83,5;58,9;56,8;57,4;65,9;65,3;65;60;0,028;1957;53;3;0,08;
International Commercial Bank Limited/2006;Ghana/2006;14;Ghana;International Commercial Bank Limited;GhanaInternational Commercial Bank Limited2006;1;0;76;0;CB;0;2006;0,214;1,000;0,593;0,011;0,002;0,131;0,00014;0,00350;;0,000;0,003;0,000;0,001;;172;0,0003;0,0003;0,001;0,000;0,014;0,110;0,013;-4,307;72,10;0,011;0,011;0,001;0,001;0,000;0,008;5148,75;1,00;0,064;919,61;6,824;0,039;0,097;0,109;0,808;0,120;0,024;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,52;0,48;0,00;0,56;0,44;0,00;0,50;0,50;0,00;0,421;10,936;0,706;0,09;English;1;0;6,99;1;0,16;55,6;50;36;75,6;74,8;50;49,5;64,5;55,4;50;50;0,039;1957;49;3;0,11;
International Commercial Bank Limited/2007;Ghana/2007;14;Ghana;International Commercial Bank Limited;GhanaInternational Commercial Bank Limited2007;1;0;76;0;CB;0;2007;0,261;0,688;0,696;0,016;0,003;0,139;0,00024;0,00624;;0,000;0,006;0,000;0,001;;194;0,001;0,001;0,001;0,001;0,020;0,147;0,019;-3,942;83,00;0,015;0,016;0,001;0,001;0,001;0,009;4197,75;1,00;0,065;1084,54;6,989;0,039;0,116;0,107;0,163;0,115;0,047;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,49;0,51;0,00;0,54;0,46;0,00;0,48;0,52;0,00;0,421;11,918;0,706;0,09;English;1;0;7,00;1;0,16;57,6;50;40;82,5;66,7;54,9;48,4;70,1;63;50;50;0,015;1957;50;3;0,11;
International Commercial Bank Limited/2008;Ghana/2008;14;Ghana;International Commercial Bank Limited;GhanaInternational Commercial Bank Limited2008;1;0;76;0;CB;0;2008;0,220;0,583;0,600;0,019;0,003;0,145;0,00043;0,00715;;0,000;0,007;0,000;0,001;;257;0,001;0,001;0,002;0,001;0,040;0,281;0,023;-3,793;103,70;0,018;0,019;0,001;0,002;0,001;0,011;4601,69;1,00;0,084;1226,22;7,112;0,059;0,136;0,165;0,202;0,097;0,078;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,49;0,51;0,00;0,54;0,46;0,00;0,45;0,55;0,00;0,421;13,871;0,706;0,09;English;1;0;6,93;1;0,16;57;50;33;83,7;71,5;53,4;47,6;68;63;50;50;0,000;1957;51;3;0,08;
International Commercial Bank Limited/2009;Ghana/2009;14;Ghana;International Commercial Bank Limited;GhanaInternational Commercial Bank Limited2009;1;0;76;0;CB;0;2009;0,167;0,477;0,737;0,024;0,014;0,364;0,00035;0,00804;0,295;0,001;0,007;0,000;0,002;;279;0,001;0,001;0,002;0,001;0,004;0,015;0,039;-3,255;192,30;0,032;0,024;0,002;0,002;0,001;0,025;4801,08;1,00;0,040;1090,42;6,994;0,015;0,148;0,193;0,166;0,102;0,037;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,421;27,646;0,706;0,09;English;1;0;7,13;1;0,16;58,1;50;37;83,2;65,7;56,7;45,3;69,6;63;50;60;0,070;1957;52;3;0,08;
International Commercial Bank Limited/2010;Ghana/2010;14;Ghana;International Commercial Bank Limited;GhanaInternational Commercial Bank Limited2010;1;0;76;0;CB;0;2010;0,176;0,470;0,617;0,024;0,013;0,338;0,00038;0,00891;0,228;0,000;0,008;0,000;0,003;;344;0,001;0,001;0,002;0,001;0,026;0,073;0,037;-3,284;227,20;0,031;0,024;0,002;0,002;0,001;0,023;5726,07;1,00;0,080;1319,07;7,185;0,055;0,137;0,107;0,165;0,095;0,063;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,421;27,319;0,706;0,09;English;1;0;7,09;1;0,16;60,2;50;39;83,5;58,9;56,8;57,4;65,9;65,3;65;60;0,018;1957;53;3;0,08;
Merchant Bank (Ghana) Ltd/2007;Ghana/2007;14;Ghana;Merchant Bank (Ghana) Ltd;GhanaMerchant Bank (Ghana) Ltd2007;0;1;77;0;CB;0;2007;0,291;0,222;0,469;0,079;0,009;0,072;0,003;0,075;;0,006;0,067;0,003;0,009;;;0,003;0,004;0,006;0,004;0,002;0,028;0,131;-2,031;590,00;0,094;0,096;0,007;0,006;0,004;0,026;4197,75;1,00;0,065;1084,54;6,989;0,039;0,116;0,107;0,163;0,115;0,047;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,49;0,51;0,00;0,54;0,46;0,00;0,48;0,52;0,00;0,421;3,823;0,706;0,09;English;1;0;7,00;1;0,16;57,6;50;40;82,5;66,7;54,9;48,4;70,1;63;50;50;0,080;1957;50;3;0,11;
Merchant Bank (Ghana) Ltd/2008;Ghana/2008;14;Ghana;Merchant Bank (Ghana) Ltd;GhanaMerchant Bank (Ghana) Ltd2008;0;1;77;0;CB;0;2008;0,268;0,224;0,381;0,069;0,013;0,107;0,002;0,081;0,096;0,004;0,069;0,002;0,009;;;0,003;0,008;0,007;0,004;0,044;0,484;0,117;-2,147;641,80;0,084;0,079;0,007;0,007;0,008;0,015;4601,69;1,00;0,084;1226,22;7,112;0,059;0,136;0,165;0,202;0,097;0,078;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,49;0,51;0,00;0,54;0,46;0,00;0,45;0,55;0,00;0,421;7,800;0,706;0,09;English;1;0;6,93;1;0,16;57;50;33;83,7;71,5;53,4;47,6;68;63;50;50;0,052;1957;51;3;0,08;
Merchant Bank (Ghana) Ltd/2009;Ghana/2009;14;Ghana;Merchant Bank (Ghana) Ltd;GhanaMerchant Bank (Ghana) Ltd2009;0;1;77;0;CB;0;2009;0,186;0,158;0,448;0,107;0,013;0,077;0,003;0,092;0,125;0,009;0,072;0,002;0,011;;;0,004;0,007;0,008;0,005;0,009;0,099;0,164;-1,805;925,20;0,128;0,127;0,011;0,008;0,007;0,056;4801,08;1,00;0,040;1090,42;6,994;0,015;0,148;0,193;0,166;0,102;0,037;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,38;0,52;744,30;0,40;0,54;850,50;0,39;0,53;768,60;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,421;4,429;0,706;0,09;English;1;0;7,13;1;0,16;58,1;50;37;83,2;65,7;56,7;45,3;69,6;63;50;60;0,093;1957;52;3;0,08;
Merchant Bank (Ghana) Ltd/2010;Ghana/2010;14;Ghana;Merchant Bank (Ghana) Ltd;GhanaMerchant Bank (Ghana) Ltd2010;0;1;77;0;CB;0;2010;0,275;0,156;0,512;0,114;0,012;0,082;0,003;0,096;0,030;0,007;0,079;0,004;0,012;;;0,004;0,005;0,009;0,005;0,006;0,076;0,142;-1,951;907,80;0,123;0,124;0,013;0,009;0,005;0,043;5726,07;1,00;0,080;1319,07;7,185;0,055;0,137;0,107;0,165;0,095;0,063;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,383;4,553;0,706;0,09;English;1;0;7,09;1;0,16;60,2;50;39;83,5;58,9;56,8;57,4;65,9;65,3;65;60;0,073;1957;53;3;0,08;
Prudential Bank Limited/2007;Ghana/2007;14;Ghana;Prudential Bank Limited;GhanaPrudential Bank Limited2007;0;0;78;0;CB;0;2007;0,221;0,304;0,665;0,048;0,003;0,047;0,001;0,028;;0,000;0,027;0,001;0,003;;535;0,002;0,002;0,003;0,001;0,012;0,250;0,059;-2,836;255,60;0,051;0,050;0,003;0,003;0,002;0,023;4197,75;1,00;0,065;1084,54;6,989;0,039;0,116;0,107;0,163;0,115;0,047;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,49;0,51;0,00;0,54;0,46;0,00;0,48;0,52;0,00;0,383;17,583;0,706;0,09;English;1;0;7,00;1;0,16;57,6;50;40;82,5;66,7;54,9;48,4;70,1;63;50;50;0,016;1957;50;3;0,11;
Prudential Bank Limited/2008;Ghana/2008;14;Ghana;Prudential Bank Limited;GhanaPrudential Bank Limited2008;0;0;78;0;CB;0;2008;0,186;0,248;0,737;0,048;0,004;0,057;0,002;0,035;;0,000;0,034;0,001;0,004;;649;0,003;0,002;0,004;0,001;0,017;0,331;0,061;-2,791;295,90;0,053;0,049;0,004;0,004;0,002;0,019;4601,69;1,00;0,084;1226,22;7,112;0,059;0,136;0,165;0,202;0,097;0,078;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,49;0,51;0,00;0,54;0,46;0,00;0,45;0,55;0,00;0,383;22,308;0,706;0,09;English;1;0;6,93;1;0,16;57;50;33;83,7;71,5;53,4;47,6;68;63;50;50;0,004;1957;51;3;0,08;
Prudential Bank Limited/2009;Ghana/2009;14;Ghana;Prudential Bank Limited;GhanaPrudential Bank Limited2009;0;0;78;0;CB;0;2009;0,187;0,204;0,845;0,058;0,005;0,073;0,003;0,039;0,050;0,000;0,038;0,002;0,004;;;0,004;0,002;0,005;0,001;0,010;0,147;0,071;-2,649;354,70;0,059;0,062;0,006;0,005;0,002;0,021;4801,08;1,00;0,040;1090,42;6,994;0,015;0,148;0,193;0,166;0,102;0,037;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,383;24,589;0,706;0,09;English;1;0;7,13;1;0,16;58,1;50;37;83,2;65,7;56,7;45,3;69,6;63;50;60;0,008;1957;52;3;0,08;
Prudential Bank Limited/2010;Ghana/2010;14;Ghana;Prudential Bank Limited;GhanaPrudential Bank Limited2010;0;0;78;0;CB;0;2010;0,174;0,203;0,826;0,061;0,007;0,096;0,003;0,041;0,047;0,000;0,039;0,002;0,004;;;0,004;0,002;0,005;0,001;0,012;0,135;0,071;-2,645;422,10;0,059;0,062;0,005;0,005;0,002;0,020;5726,07;1,00;0,080;1319,07;7,185;0,055;0,137;0,107;0,165;0,095;0,063;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,383;32,079;0,706;0,09;English;1;0;7,09;1;0,16;60,2;50;39;83,5;58,9;56,8;57,4;65,9;65,3;65;60;0,007;1957;53;3;0,08;
Stanbic Bank Ghana Limited/2007;Ghana/2007;14;Ghana;Stanbic Bank Ghana Limited;GhanaStanbic Bank Ghana Limited2007;1;0;79;0;CB;0;2007;0,359;0,434;0,485;0,063;0,006;0,074;0,001;0,048;;0,000;0,046;0,002;0,004;;;0,002;0,003;0,003;0,002;0,031;0,418;0,084;-2,478;385,50;0,068;0,076;0,002;0,003;0,003;0,022;4197,75;1,00;0,065;1084,54;6,989;0,039;0,116;0,107;0,163;0,115;0,047;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,49;0,51;0,00;0,54;0,46;0,00;0,48;0,52;0,00;0,383;6,880;0,706;0,09;English;1;0;7,00;1;0,16;57,6;50;40;82,5;66,7;54,9;48,4;70,1;63;50;50;0,003;1957;50;3;0,11;
Stanbic Bank Ghana Limited/2008;Ghana/2008;14;Ghana;Stanbic Bank Ghana Limited;GhanaStanbic Bank Ghana Limited2008;1;0;79;0;CB;0;2008;0,240;0,242;0,515;0,080;0,010;0,100;0,003;0,055;0,132;0,001;0,052;0,002;0,007;;;0,003;0,005;0,006;0,003;0,036;0,412;0,100;-2,305;485,90;0,080;0,087;0,004;0,006;0,005;0,028;4601,69;1,00;0,084;1226,22;7,112;0,059;0,136;0,165;0,202;0,097;0,078;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,49;0,51;0,00;0,54;0,46;0,00;0,45;0,55;0,00;0,383;8,913;0,706;0,09;English;1;0;6,93;1;0,16;57;50;33;83,7;71,5;53,4;47,6;68;63;50;50;0,018;1957;51;3;0,08;
Stanbic Bank Ghana Limited/2009;Ghana/2009;14;Ghana;Stanbic Bank Ghana Limited;GhanaStanbic Bank Ghana Limited2009;1;0;79;0;CB;0;2009;0,238;0,161;0,555;0,123;0,018;0,122;0,002;0,060;0,292;0,007;0,054;0,003;0,009;21;;0,005;0,007;0,009;0,004;0,002;0,015;0,149;-1,906;804,70;0,120;0,128;0,008;0,009;0,007;0,066;4801,08;1,00;0,040;1090,42;6,994;0,015;0,148;0,193;0,166;0,102;0,037;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,383;8,075;0,706;0,09;English;1;0;7,13;1;0,16;58,1;50;37;83,2;65,7;56,7;45,3;69,6;63;50;60;0,109;1957;52;3;0,08;
Stanbic Bank Ghana Limited/2010;Ghana/2010;14;Ghana;Stanbic Bank Ghana Limited;GhanaStanbic Bank Ghana Limited2010;1;0;79;0;CB;0;2010;0,310;0,185;0,586;0,127;0,019;0,124;0,002;0,065;0,185;0,002;0,060;0,003;0,010;22;;0,005;0,007;0,010;0,005;0,024;0,195;0,154;-1,868;979,40;0,127;0,131;0,005;0,010;0,007;0,067;5726,07;1,00;0,080;1319,07;7,185;0,055;0,137;0,107;0,165;0,095;0,063;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,51;0,49;0,00;0,46;0,54;0,00;0,55;0,45;0,00;0,383;9,680;0,706;0,09;English;1;0;7,09;1;0,16;60,2;50;39;83,5;58,9;56,8;57,4;65,9;65,3;65;60;0,032;1957;53;3;0,08;
Standard Chartered Bank Ghana Limited/2005;Ghana/2005;14;Ghana;Standard Chartered Bank Ghana Limited;GhanaStandard Chartered Bank Ghana Limited2005;1;0;80;1;CB;0;2005;0,477;0,178;0,407;461,116;62,012;0,114;11,917;315,355;;-0,331;302,997;18,206;59,033;;;19,861;30,123;36,302;16,441;0,071;0,621;545,858;6,302;792,60;450,413;461,116;10,813;36,302;30,123;240,434;0,91;1,00;0,059;495,40;6,205;0,034;0,135;0,151;0,150;0,213;0,030;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,49;0,51;0,00;0,50;0,50;0,00;0,47;0,53;0,00;0,383;16,225;0,706;0,09;English;1;0;6,49;1;0,16;56,5;50;33;77,4;79,6;70;50,2;58,8;66;50;30;-0,001;1957;48;3;0,11;
Standard Chartered Bank Ghana Limited/2006;Ghana/2006;14;Ghana;Standard Chartered Bank Ghana Limited;GhanaStandard Chartered Bank Ghana Limited2006;1;0;80;1;CB;0;2006;0,393;0,113;0,468;587,701;87,948;0,113;13,203;271,264;0,050;-1,528;261,770;20,405;62,960;;;23,024;29,680;43,319;20,296;0,050;0,460;775,818;6,654;849,50;645,642;625,892;19,968;43,319;29,680;383,872;0,92;1,00;0,064;919,61;6,824;0,039;0,097;0,109;0,808;0,120;0,024;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,52;0,48;0,00;0,56;0,44;0,00;0,50;0,50;0,00;0,383;14,407;0,706;0,09;English;1;0;6,99;1;0,16;55,6;50;36;75,6;74,8;50;49,5;64,5;55,4;50;50;-0,006;1957;49;3;0,11;
Standard Chartered Bank Ghana Limited/2007;Ghana/2007;14;Ghana;Standard Chartered Bank Ghana Limited;GhanaStandard Chartered Bank Ghana Limited2007;1;0;80;1;CB;0;2007;0,365;0,126;0,515;686,984;94,520;0,109;12,510;318,204;0,010;1,925;306,977;20,422;68,538;;;26,517;30,580;51,003;24,485;0,043;0,391;864,691;6,762;911,20;649,881;686,984;32,826;51,003;30,580;342,904;0,94;1,00;0,065;1084,54;6,989;0,039;0,116;0,107;0,163;0,115;0,047;6,563;4,167;6,598;5,000;7,500;6,563;0,000;0,000;3,750;4,460;7,083;4,286;7,024;5,833;6,944;6,458;0,000;0,000;2,857;4,498;0,35;0,50;693,10;0,36;0,49;806,30;0,34;0,48;680,40;0,49;0,51;0,00;0,54;0,46;0,00;0,48;0,52;0,00;0,383;13,457;0,706;0,09;English;1;0;7,00;1;0,16;57,6;50;40;82,5;66,7;54,9;48,4;70,1;63;50;50;0,006;1957;50;3;0,11;
